IDEP 2023;;;;;;;;IDEP;;METAS;
Cod_Esc;Escola;Diretoria;Distrito;NSE;Grupo;ICG;Faixa;IDEP_INICIAL;IDEP_FINAL;IDEP_INICIAL;IDEP_FINAL
94811;EMEF ROMAO GOMES, CEL.;JACANA/TREMEMBE;VILA MARIA;47,29536274;1;6;2;3,9;4,1;3,8;3,5
95206;EMEF CALOGERAS, MIN.;SANTO AMARO;CAMPO BELO;48,50742507;1;3;1;4,4;4,1;4,4;3,5
95494;EMEF ARMANDO DE SALLES OLIVEIRA;SAO MATEUS;SAPOPEMBA;49,83774858;2;5;4;4,4;4,1;4,1;3,7
95591;EMEF IVETE VARGAS, DEP.;SAO MATEUS;SAPOPEMBA;50,04537845;2;3;3;4,1;4,1;4,1;2,8
8834;EMEF IDEMIA DE GODOY, PROFA.;GUAIANASES;LAJEADO;49,83151086;2;6;4;3,7;4,2;3,7;4,0
9971;EMEF LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA;IPIRANGA;SACOMA;48,76078048;1;6;2;4,2;4,2;4,9;2,7
10405;EMEF NILDO DO AMARAL JUNIOR, PE.;SAO MIGUEL;ITAIM PAULISTA;49,02604086;1;3;1;4,3;4,2;3,7;3,9
15440;EMEF EUZEBIO ROCHA FILHO;SAO MIGUEL;VILA CURUCA;48,09890193;1;5;2;4,3;4,2;4,4;3,6
16519;EMEFM RUBENS PAIVA;SAO MATEUS;SAPOPEMBA;49,14013887;1;4;2;4,1;4,2;4,1;3,8
19232;EMEF FAZENDA DA JUTA;SAO MATEUS;SAPOPEMBA;49,87167417;2;3;3;4,3;4,2;3,9;3,7
19257;EMEF ALDO DA TOFORI, PE;SANTO AMARO;PEDREIRA;49,25588921;1;6;2;5;4,2;4,1;4,2
19262;CEU EMEF BUTANTA;BUTANTA;RIO PEQUENO;49,67956526;2;3;3;4,5;4,2;3,8;2,3
